"CountryID","Country","Year","Population","Currency","Per.capita.GNI","Agriculture","Construction","Exports","Final.consumption","Gross.capital","Household.consumption","Imports","Manufacturing","Mining","Total.Value.Added","Transport","Wholesale","GNI","GDP"
4," Afghanistan ",1970,10752971," Afghani ",164,869917407,46793902,165618722,1663221269,94611818,1551094283,195277226,370146827,376690811,1731454254,83917200,226387091,1766527525,1731435587
4," Afghanistan ",1971,11015857," Afghani ",168,910828104,48994113,193580300,1796541240,99012350,1675426407,276296480,387549502,394401164,1812857077,87860382,237019196,1850121913,1812837521
4," Afghanistan ",1972,11286753," Afghani ",149,827945340,44535223,227654380,1607159399,103456794,1498811856,290370350,352284669,358512865,1647917912,79864525,215477287,1683947905,1647900178
4," Afghanistan ",1973,11575305," Afghani ",150,855486925,46018542,226913554,1617037233,121728433,1508023800,262962880,364010279,370445793,1702734673,82528885,222624293,1739998153,1702716294
4," Afghanistan ",1974,11869879," Afghani ",177,1035913365,55721659,284938449,1907408182,175061875,1778819221,305679151,440760406,448552790,2061751510,99918604,269525910,2106420227,2061729287
4," Afghanistan ",1975,12157386," Afghani ",195,1165441381,62686658,300493815,2131358499,221728484,1987671788,333827202,495891889,504659018,2319778374,112416374,303432162,2369877014,2319753506
4," Afghanistan ",1976,12425267," Afghani ",207,1262891632,67941997,329382802,2232098998,322716302,2081620805,370617399,537391228,546891983,2513608060,121865126,328544951,2568148611,2513580659
4," Afghanistan ",1977,12687301," Afghani ",231,1439687056,77430595,342962988,2584198550,362716078,2409983394,424938409,612470141,623298276,2864969897,138798518,374373152,2927408257,2864939207
4," Afghanistan ",1978,12938862," Afghani ",254,1618731870,87058287,354814847,2883951161,437531071,2689527987,453333379,688846878,701025415,3222997856,156155903,422306672,3292593311,3222963833
4," Afghanistan ",1979,12986369," Afghani ",285,1824507919,98215848,424287344,3241236374,487588175,3022726644,522344151,776522761,790251109,3630809406,176271742,473526514,3707542111,3630767856
4," Afghanistan ",1980,12486631," Afghani ",298,1833562539,98532815,421868016,3268912030,482304575,3048536534,526287844,779480093,793260866,3646833941,176313390,476149507,3722131465,3646796868
4," Afghanistan ",1981,11155195," Afghani ",314,1718724637,92428356,391421266,3066531139,459513054,2859799183,489983587,732043180,744985769,3427516574,166095276,452727309,3498878174,3427482014
4," Afghanistan ",1982,10088289," Afghani ",341,1726519723,93192698,396355483,3069066293,458169539,2862163623,492946310,735140420,748136470,3430693404,167551200,441377195,3444942467,3430645143
4," Afghanistan ",1983,9951449," Afghani ",342,1716473104,91768952,392422843,3051150067,454250259,2845455074,489618656,727197612,740054431,3408226352,162736656,446336562,3406282147,3408204613
